geom,m,solver,rep,B,gamma,n_margin,p_miss_emp,union_binom,union_hoeff,p_miss_all_emp
par,6,exact,0,5,0.05,186,1.0,1.0,1.0,1.0
par,6,exact,0,5,0.1,163,0.955,1.0,1.0,1.0
par,6,exact,0,5,0.2,95,0.605,1.0,1.0,1.0
par,6,exact,0,10,0.05,186,1.0,1.0,1.0,1.0
par,6,exact,0,10,0.1,163,0.955,1.0,1.0,1.0
par,6,exact,0,10,0.2,95,0.64,1.0,1.0,1.0
par,6,exact,0,25,0.05,186,0.94,1.0,1.0,1.0
par,6,exact,0,25,0.1,163,0.655,1.0,1.0,1.0
par,6,exact,0,25,0.2,95,0.0949999999999999,0.3631276003548297,1.0,1.0
par,6,exact,0,50,0.05,186,0.895,1.0,1.0,1.0
par,6,exact,0,50,0.1,163,0.4,1.0,1.0,1.0
par,6,exact,0,50,0.2,95,0.005,0.0205788958660436,0.2930089986774772,1.0
par,6,exact,0,100,0.05,186,0.605,1.0,1.0,1.0
par,6,exact,0,100,0.1,163,0.1099999999999999,0.2700246275701912,1.0,1.0
par,6,exact,0,100,0.2,95,0.0,0.0001032446354241,0.0028153754981499,1.0
par,6,exact,0,200,0.05,186,0.26,0.598122558603825,1.0,0.995
par,6,exact,0,200,0.1,163,0.015,0.0167455226218201,0.1566031078934946,0.995
par,6,exact,0,200,0.2,95,0.0,6.188052462742801e-09,4.679934100907266e-07,0.995
par,6,exact,0,400,0.05,186,0.02,0.1108492755934142,0.7372834129644906,0.975
par,6,exact,0,400,0.1,163,0.0,0.0001257279707297,0.0016875628507911,0.975
par,6,exact,0,400,0.2,95,0.0,5.63564336458882e-17,2.53613659092714e-14,0.975
par,6,exact,0,1000,0.05,186,0.0,0.0020987049310739,0.0196607337037537,0.985
par,6,exact,0,1000,0.1,163,0.0,1.8912842198305043e-10,4.903861526600017e-09,0.985
par,6,exact,0,1000,0.2,95,0.0,1.39949099873844e-40,8.849893161495154e-36,0.985
par,6,exact,1,5,0.05,189,0.96,1.0,1.0,1.0
par,6,exact,1,5,0.1,180,0.94,1.0,1.0,1.0
par,6,exact,1,5,0.2,113,0.605,1.0,1.0,1.0
par,6,exact,1,10,0.05,189,0.985,1.0,1.0,1.0
par,6,exact,1,10,0.1,180,0.96,1.0,1.0,1.0
par,6,exact,1,10,0.2,113,0.61,1.0,1.0,1.0
par,6,exact,1,25,0.05,189,0.9,1.0,1.0,0.99
par,6,exact,1,25,0.1,180,0.7050000000000001,1.0,1.0,0.99
par,6,exact,1,25,0.2,113,0.12,0.4079563842530245,1.0,0.99
par,6,exact,1,50,0.05,189,0.685,1.0,1.0,0.985
par,6,exact,1,50,0.1,180,0.38,1.0,1.0,0.985
par,6,exact,1,50,0.2,113,0.0,0.023968426625487,0.3349395880423039,0.985
par,6,exact,1,100,0.05,189,0.385,0.9225437696071376,1.0,0.955
par,6,exact,1,100,0.1,180,0.0849999999999999,0.174917210263982,1.0,0.955
par,6,exact,1,100,0.2,113,0.0,0.0001257650904878,0.0033710691404588,0.955
par,6,exact,1,200,0.05,189,0.16,0.267560690840563,1.0,0.925
par,6,exact,1,200,0.1,180,0.0,0.0110828462250321,0.1020056068840317,0.925
par,6,exact,1,200,0.2,113,0.0,7.898438845890273e-09,5.887380677360699e-07,0.925
par,6,exact,1,400,0.05,189,0.01,0.0446691422154041,0.3081222026608166,0.79
par,6,exact,1,400,0.1,180,0.0,9.338380917248428e-05,0.0012335057261021,0.79
par,6,exact,1,400,0.2,113,0.0,7.925202046450515e-17,3.4128400605553435e-14,0.79
par,6,exact,1,1000,0.05,189,0.0,0.0006052327315149,0.0059288217588132,0.735
par,6,exact,1,1000,0.1,180,0.0,1.5082489234407388e-10,3.9010812454243395e-09,0.735
par,6,exact,1,1000,0.2,113,0.0,3.8652489674539495e-40,1.9621595796789031e-35,0.735
par,6,exact,2,5,0.05,184,0.97,1.0,1.0,1.0
par,6,exact,2,5,0.1,167,0.91,1.0,1.0,1.0
par,6,exact,2,5,0.2,100,0.65,1.0,1.0,1.0
par,6,exact,2,10,0.05,184,0.995,1.0,1.0,1.0
par,6,exact,2,10,0.1,167,0.96,1.0,1.0,1.0
par,6,exact,2,10,0.2,100,0.61,1.0,1.0,1.0
par,6,exact,2,25,0.05,184,0.93,1.0,1.0,0.995
par,6,exact,2,25,0.1,167,0.7,1.0,1.0,0.995
par,6,exact,2,25,0.2,100,0.165,0.4652312260526081,1.0,0.995
par,6,exact,2,50,0.05,184,0.78,1.0,1.0,0.995
par,6,exact,2,50,0.1,167,0.375,1.0,1.0,0.995
par,6,exact,2,50,0.2,100,0.01,0.0282265203995158,0.388618651199705,0.995
par,6,exact,2,100,0.05,184,0.5549999999999999,1.0,1.0,0.985
par,6,exact,2,100,0.1,167,0.0649999999999999,0.1961267748129959,1.0,0.985
par,6,exact,2,100,0.2,100,0.0,0.0001519438673163,0.0040361074825195,0.985
par,6,exact,2,200,0.05,184,0.1949999999999999,0.4107333523257276,1.0,0.98
par,6,exact,2,200,0.1,167,0.0,0.0103485293484989,0.0996835910305026,0.98
par,6,exact,2,200,0.2,100,0.0,9.469784791456077e-09,7.132245743604013e-07,0.98
par,6,exact,2,400,0.05,184,0.025,0.0739135995677047,0.4933619418648112,0.965
par,6,exact,2,400,0.1,167,0.0,7.09371165552764e-05,0.0009583597830019,0.965
par,6,exact,2,400,0.2,100,0.0,8.20255395974286e-17,3.7612973276573344e-14,0.965
par,6,exact,2,1000,0.05,184,0.0,0.0013923061592809,0.0130734331716853,1.0
par,6,exact,2,1000,0.1,167,0.0,1.0984846207955524e-10,2.825356361238011e-09,1.0
par,6,exact,2,1000,0.2,100,0.0,1.955557660643446e-40,1.240839865426204e-35,1.0
par,6,exact,3,5,0.05,183,0.985,1.0,1.0,1.0
par,6,exact,3,5,0.1,155,0.94,1.0,1.0,1.0
par,6,exact,3,5,0.2,87,0.645,1.0,1.0,1.0
par,6,exact,3,10,0.05,183,0.99,1.0,1.0,1.0
par,6,exact,3,10,0.1,155,0.965,1.0,1.0,1.0
par,6,exact,3,10,0.2,87,0.5549999999999999,1.0,1.0,1.0
par,6,exact,3,25,0.05,183,0.94,1.0,1.0,1.0
par,6,exact,3,25,0.1,155,0.725,1.0,1.0,1.0
par,6,exact,3,25,0.2,87,0.1049999999999999,0.2780301954639176,1.0,1.0
par,6,exact,3,50,0.05,183,0.885,1.0,1.0,1.0
par,6,exact,3,50,0.1,155,0.49,1.0,1.0,1.0
par,6,exact,3,50,0.2,87,0.005,0.0149291040784619,0.2180375780006018,1.0
par,6,exact,3,100,0.05,183,0.565,1.0,1.0,1.0
par,6,exact,3,100,0.1,155,0.1149999999999999,0.3295071699878333,1.0,1.0
par,6,exact,3,100,0.2,87,0.0,6.934486336719201e-05,0.0019642511689299,1.0
par,6,exact,3,200,0.05,183,0.2199999999999999,0.6612135127361571,1.0,0.985
par,6,exact,3,200,0.1,155,0.01,0.0191777183954305,0.1831043271173404,0.985
par,6,exact,3,200,0.2,87,0.0,3.133285213644431e-09,2.68300955090175e-07,0.985
par,6,exact,3,400,0.05,183,0.02,0.0953198380479767,0.6786170482644597,1.0
par,6,exact,3,400,0.1,155,0.0,0.0001194718274597,0.0016659410195253,1.0
par,6,exact,3,400,0.2,87,0.0,1.3874418310663185e-17,8.122237449215439e-15,1.0
par,6,exact,3,1000,0.05,183,0.0,0.0011510758040868,0.0113062226005969,1.0
par,6,exact,3,1000,0.1,155,0.0,9.145865649512811e-11,2.549646292688981e-09,1.0
par,6,exact,3,1000,0.2,87,0.0,4.326404077351813e-42,4.906927246263461e-37,1.0
par,6,exact,4,5,0.05,191,0.99,1.0,1.0,1.0
par,6,exact,4,5,0.1,171,0.9,1.0,1.0,1.0
par,6,exact,4,5,0.2,129,0.7050000000000001,1.0,1.0,1.0
par,6,exact,4,10,0.05,191,0.995,1.0,1.0,1.0
par,6,exact,4,10,0.1,171,0.89,1.0,1.0,1.0
par,6,exact,4,10,0.2,129,0.65,1.0,1.0,1.0
par,6,exact,4,25,0.05,191,0.95,1.0,1.0,1.0
par,6,exact,4,25,0.1,171,0.5349999999999999,1.0,1.0,1.0
par,6,exact,4,25,0.2,129,0.135,0.4502506147055826,1.0,1.0
par,6,exact,4,50,0.05,191,0.8200000000000001,1.0,1.0,0.99
par,6,exact,4,50,0.1,171,0.1949999999999999,0.810786524129302,1.0,0.99
par,6,exact,4,50,0.2,129,0.01,0.0259990569416354,0.3658538958728912,0.99
par,6,exact,4,100,0.05,191,0.565,1.0,1.0,0.965
par,6,exact,4,100,0.1,171,0.05,0.1216314717026712,0.9117883923887584,0.965
par,6,exact,4,100,0.2,129,0.0,0.0001395629093985,0.0036881816550814,0.965
par,6,exact,4,200,0.05,191,0.2199999999999999,0.4753038343491897,1.0,0.96
par,6,exact,4,200,0.1,171,0.0,0.0058296374548035,0.0580795490628624,0.96
par,6,exact,4,200,0.2,129,0.0,9.555118402867823e-09,6.887479606219095e-07,0.96
par,6,exact,4,400,0.05,191,0.025,0.0828412457092842,0.559400205930079,0.97
par,6,exact,4,400,0.1,171,0.0,2.875520751878465e-05,0.0004148460155754,0.97
par,6,exact,4,400,0.2,129,0.0,1.1360555586368503e-16,4.612769430396568e-14,0.97
par,6,exact,4,1000,0.05,191,0.0,0.0014942230924482,0.0140103482680522,0.99
par,6,exact,4,1000,0.1,171,0.0,1.745215987649655e-11,4.90573480791003e-10,0.99
par,6,exact,4,1000,0.2,129,0.0,8.417143366309351e-40,3.855951610741818e-35,0.99
par,6,exact,5,5,0.05,186,0.99,1.0,1.0,1.0
par,6,exact,5,5,0.1,175,0.94,1.0,1.0,1.0
par,6,exact,5,5,0.2,97,0.7150000000000001,1.0,1.0,1.0
par,6,exact,5,10,0.05,186,0.975,1.0,1.0,1.0
par,6,exact,5,10,0.1,175,0.935,1.0,1.0,1.0
par,6,exact,5,10,0.2,97,0.5700000000000001,1.0,1.0,1.0
par,6,exact,5,25,0.05,186,0.895,1.0,1.0,1.0
par,6,exact,5,25,0.1,175,0.6699999999999999,1.0,1.0,1.0
par,6,exact,5,25,0.2,97,0.1149999999999999,0.3334841063900931,1.0,1.0
par,6,exact,5,50,0.05,186,0.755,1.0,1.0,0.99
par,6,exact,5,50,0.1,175,0.4499999999999999,1.0,1.0,0.99
par,6,exact,5,50,0.2,97,0.005,0.0183348537923805,0.265358312262857,0.99
par,6,exact,5,100,0.05,186,0.505,1.0,1.0,0.97
par,6,exact,5,100,0.1,175,0.0899999999999999,0.3055539283568809,1.0,0.97
par,6,exact,5,100,0.2,97,0.0,8.658777307751089e-05,0.0024250226442092,0.97
par,6,exact,5,200,0.05,186,0.155,0.3087364842785453,1.0,0.92
par,6,exact,5,200,0.1,175,0.005,0.0163909430414805,0.1589968145043404,0.92
par,6,exact,5,200,0.2,97,0.0,4.700705071229897e-09,3.672604453297232e-07,0.92
par,6,exact,5,400,0.05,186,0.01,0.0478482915018721,0.3325849110036245,0.835
par,6,exact,5,400,0.1,175,0.0,9.46105005445024e-05,0.0013317085001208,0.835
par,6,exact,5,400,0.2,97,0.0,4.3144381328346507e-17,1.8888886990192307e-14,0.835
par,6,exact,5,1000,0.05,186,0.0,0.000755452469001,0.0070847081929613,0.56
par,6,exact,5,1000,0.1,175,0.0,9.2006066930928e-11,2.417824881853349e-09,0.56
par,6,exact,5,1000,0.2,97,0.0,1.6846056055867274e-40,9.350942360618422e-36,0.56
par,6,exact,6,5,0.05,184,0.985,1.0,1.0,1.0
par,6,exact,6,5,0.1,159,0.92,1.0,1.0,1.0
par,6,exact,6,5,0.2,84,0.645,1.0,1.0,1.0
par,6,exact,6,10,0.05,184,0.99,1.0,1.0,1.0
par,6,exact,6,10,0.1,159,0.915,1.0,1.0,1.0
par,6,exact,6,10,0.2,84,0.575,1.0,1.0,1.0
par,6,exact,6,25,0.05,184,0.965,1.0,1.0,1.0
par,6,exact,6,25,0.1,159,0.6599999999999999,1.0,1.0,1.0
par,6,exact,6,25,0.2,84,0.1099999999999999,0.3224112030938817,1.0,1.0
par,6,exact,6,50,0.05,184,0.78,1.0,1.0,1.0
par,6,exact,6,50,0.1,159,0.3199999999999999,1.0,1.0,1.0
par,6,exact,6,50,0.2,84,0.005,0.0181483762670207,0.2591180542671575,1.0
par,6,exact,6,100,0.05,184,0.53,1.0,1.0,1.0
par,6,exact,6,100,0.1,159,0.1099999999999999,0.2347832742571459,1.0,1.0
par,6,exact,6,100,0.2,84,0.0,9.264492558186087e-05,0.0024965402955315,1.0
par,6,exact,6,200,0.05,184,0.24,0.537876314551623,1.0,0.98
par,6,exact,6,200,0.1,159,0.005,0.0129654810443878,0.123322180882406,0.98
par,6,exact,6,200,0.2,84,0.0,6.110066339481058e-09,4.45103335046833e-07,0.98
par,6,exact,6,400,0.05,184,0.035,0.0825053201877609,0.5730777690529252,0.985
par,6,exact,6,400,0.1,159,0.0,9.519573686987652e-05,0.001275341376003,0.985
par,6,exact,6,400,0.2,84,0.0,6.424314246297469e-17,2.7628780073048684e-14,0.985
par,6,exact,6,1000,0.05,184,0.0,0.0012784228630614,0.012144877018649,1.0
par,6,exact,6,1000,0.1,159,0.0,1.4934931508571106e-10,3.852350308145336e-09,1.0
par,6,exact,6,1000,0.2,84,0.0,2.458869257273212e-40,1.3544030375442215e-35,1.0
par,6,exact,7,5,0.05,191,0.99,1.0,1.0,1.0
par,6,exact,7,5,0.1,158,0.95,1.0,1.0,1.0
par,6,exact,7,5,0.2,97,0.61,1.0,1.0,1.0
par,6,exact,7,10,0.05,191,0.985,1.0,1.0,1.0
par,6,exact,7,10,0.1,158,0.915,1.0,1.0,1.0
par,6,exact,7,10,0.2,97,0.5800000000000001,1.0,1.0,1.0
par,6,exact,7,25,0.05,191,0.91,1.0,1.0,0.995
par,6,exact,7,25,0.1,158,0.645,1.0,1.0,0.995
par,6,exact,7,25,0.2,97,0.125,0.3207553866968475,1.0,0.995
par,6,exact,7,50,0.05,191,0.86,1.0,1.0,1.0
par,6,exact,7,50,0.1,158,0.37,1.0,1.0,1.0
par,6,exact,7,50,0.2,97,0.01,0.017714016722282,0.2549392995433413,1.0
par,6,exact,7,100,0.05,191,0.5449999999999999,1.0,1.0,0.98
par,6,exact,7,100,0.1,158,0.1149999999999999,0.2924757383704353,1.0,0.98
par,6,exact,7,100,0.2,97,0.0,8.890911300430684e-05,0.0024211620486734,0.98
par,6,exact,7,200,0.05,191,0.275,0.801062329094768,1.0,0.96
