geom,m,solver,rep,n,B,F_hat,t_rep,draws_per_rep,p_zhat,p_basin,frac_Q_below_half,n_Q_below_half,min_Q,mean_Q,q10,vote_agree_zhat,vote_equals_zhat,vote_gap,votepol_equals_zhat,votepol_gap,plural_ne_zstar,zhat_ne_zstar,acc0_zhat,acc0_vote,acc0_bayes,auc_vote_share,auc_plugin,n_zhat_wrong,corr_Q_margin,n_margin_0.05,n_margin_0.1,n_margin_0.2,batch_var_ratio,batch_var_ratio_n
par,6,exact,0,200,2000,183.85927109857013,0.0004217533563217,2.3445,0.0005,0.1566666666666666,0.015,3,0.4845,0.6974575000000002,0.5627,0.985,False,0.0004185163105061,False,0.0004185163105061,0.015,0.01,0.93,0.935,0.93,0.8886328725038403,0.9500768049155146,14,0.6018112004056682,186,163,95,0.8715106300752862,200
par,6,exact,1,200,2000,151.69077186786473,0.0003570402533731,2.3195,0.0015,0.67,0.0,0,0.501,0.7253825,0.5997,1.0,True,4.440892098500626e-16,True,4.440892098500626e-16,0.0,0.0,0.895,0.895,0.895,0.8431763766959298,0.8693801542963554,21,0.7032753591685059,189,180,113,0.9449212048187532,200
par,6,exact,2,200,2000,169.6365926440136,0.0003920227541232,2.397,0.001,0.57,0.01,2,0.4745,0.7005950000000002,0.56465,0.99,False,0.0090362528392151,True,7.327471962526033e-15,0.025,0.02,0.945,0.955,0.945,0.9658489658489658,0.9292929292929292,11,0.6451751841835408,184,167,100,0.9619146833726884,200
par,6,exact,3,200,2000,191.7790015092088,0.0003587151389304,2.43,0.0,0.35,0.02,4,0.4715,0.68688,0.5555,0.98,False,0.0039838503894342,True,-3.3306690738754696e-16,0.015,0.035,0.94,0.95,0.945,0.911790780141844,0.948581560283688,12,0.6275451533742721,183,155,87,0.8843570906613815,200
par,6,exact,4,200,2000,165.68715501404577,0.0003570543098451,2.274,0.001,0.3633333333333333,0.01,2,0.475,0.7324424999999999,0.5826,0.99,False,0.0065194173754214,True,3.996802888650564e-15,0.01,0.0,0.92,0.92,0.92,0.8704144021739131,0.8845108695652174,16,0.6432339610194999,191,171,129,0.9814247650065596,199
par,6,exact,5,200,2000,166.15534709664018,0.0003657271824087,2.311,0.0025,0.35,0.0,0,0.5045,0.7049100000000001,0.5739,1.0,True,6.8833827526759706e-15,True,6.8833827526759706e-15,0.03,0.03,0.94,0.94,0.95,0.8320035460992907,0.9055851063829788,12,0.6333755299518662,186,175,97,1.072082800965454,200
par,6,exact,6,200,2000,177.9698534961749,0.0003557903078465,2.327,0.001,0.3333333333333333,0.01,2,0.467,0.6890124999999999,0.56255,0.99,False,0.0009740498774581,False,0.0009740498774581,0.03,0.02,0.94,0.94,0.94,0.7732712765957447,0.8909574468085106,12,0.5823357089247032,184,159,84,1.0028817248703126,198
par,6,exact,7,200,2000,141.76301545038564,0.0003610131209392,2.375,0.0035,0.5333333333333333,0.01,2,0.4905,0.69797,0.56595,0.99,False,0.0050684330693067,True,7.549516567451064e-15,0.015,0.015,0.955,0.955,0.96,0.8734729493891797,0.9168121000581734,9,0.6457516180246017,191,158,97,0.9495913357604318,200
par,6,exact,8,200,2000,165.7363365175304,0.0003568615067464,2.2875,0.002,0.41,0.01,2,0.4825,0.7366525,0.5891000000000001,0.99,False,0.0029912042620183,False,0.0023557109790512,0.025,0.035,0.95,0.94,0.935,0.8610526315789474,0.8984210526315789,10,0.6462724053604413,189,176,134,0.9404360035451168,197
par,6,exact,9,200,2000,164.4281045222076,0.0003527969580211,2.307,0.0025,0.42,0.005,1,0.4925,0.7159099999999999,0.58895,0.995,False,0.0026413914260978,True,5.551115123125783e-15,0.01,0.015,0.9,0.905,0.905,0.83125,0.9094444444444444,20,0.7247698877794203,190,171,120,0.9835815789113608,199
par,6,exact,10,200,2000,189.47549954139728,0.0003623016796602,2.4165,0.0005,0.28,0.02,4,0.477,0.68755,0.5855,0.98,False,0.0107515828096373,False,9.382577717453876e-05,0.03,0.01,0.935,0.925,0.925,0.7729329494035376,0.8416289592760181,13,0.5714411226528454,189,170,77,0.9539538899163916,200
par,6,exact,11,200,2000,205.61350092888324,0.000368460648176,2.295,0.0,0.3266666666666666,0.0,0,0.5,0.7012424999999999,0.5518500000000001,0.995,False,0.0020281040714149,True,4.6629367034256575e-15,0.01,0.01,0.915,0.92,0.905,0.8572806171648988,0.9215686274509804,17,0.6864634236738696,182,167,99,1.0258363940494013,199
par,6,exact,12,200,2000,151.00059924385562,0.0003648141384309,2.381,0.0,0.05,0.02,4,0.4615,0.72482,0.5929500000000001,0.98,False,0.0014362139884613,False,0.0014362139884613,0.0,0.02,0.95,0.94,0.94,0.8928947368421053,0.9052631578947368,10,0.6665222546668311,186,175,121,0.89984260688473,199
par,6,exact,13,200,2000,148.97524955721082,0.0003839380704649,2.312,0.0015,0.2133333333333333,0.0,0,0.5015,0.7210975,0.5689,1.0,True,-3.3306690738754696e-16,True,-3.3306690738754696e-16,0.03,0.03,0.93,0.93,0.92,0.7928187403993856,0.8083717357910907,14,0.6523084214268876,182,171,107,1.2160568690969815,198
par,6,exact,14,200,2000,180.6468673039119,0.0003754207406297,2.402,0.0,0.2833333333333333,0.015,3,0.4855,0.6901724999999999,0.54795,0.98,False,0.0053723112962109,True,5.9952043329758445e-15,0.045,0.045,0.895,0.895,0.94,0.8403830806065443,0.8895982974195265,21,0.6296330934534425,179,160,82,0.9693493897241532,199
par,6,exact,15,200,2000,174.81055856875295,0.0003483937191402,2.267,0.001,0.26,0.055,11,0.448,0.7104075000000001,0.55235,0.945,False,0.0234524609584538,False,0.0031579640377319,0.03,0.035,0.915,0.93,0.95,0.9482481517197042,0.9360334297653488,17,0.656840622879093,180,161,110,1.105460297847241,199
par,6,exact,16,200,2000,147.53273706778324,0.0003595978665668,2.312,0.0065,0.2733333333333333,0.005,1,0.476,0.7193825000000001,0.5997500000000001,0.995,False,0.000288575415051,False,0.000288575415051,0.01,0.015,0.95,0.955,0.955,0.8931578947368422,0.9105263157894736,10,0.5844387755319764,192,180,107,1.1144057137492638,199
par,6,exact,17,200,2000,148.15798259372346,0.0003661025032482,2.3435,0.0045,0.19,0.03,6,0.438,0.7218975000000001,0.566,0.97,False,0.016979786151724,False,0.0002528744448697,0.03,0.02,0.925,0.915,0.93,0.7254054054054054,0.8533333333333334,15,0.6927438543133503,185,167,119,1.0328306277232675,199
par,6,exact,18,200,2000,153.0385782515531,0.0003622424337831,2.259,0.003,0.29,0.015,3,0.457,0.7238374999999999,0.5792499999999999,0.985,False,0.0053347709944944,False,0.0009892893001897,0.015,0.03,0.895,0.9,0.905,0.8713753657887736,0.9010375099760576,21,0.5933597807680489,191,172,119,0.9056099356931476,196
