cell,K,n,m,rep,method,time,geom,delta,F,Fref,ref_exact,hit,gap,agree_ref,acc0,ari0,R_tm
K2-par-p2,2,200,14,101,vote,0.1268908099737018,par,3.0,150.59743333978793,149.69992551383814,False,False,0.0059953792419678,0.99,0.915,0.6873380540419135,334.0
K2-par-p2,2,200,14,101,vote+pol,0.1271106048952788,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,param+pol,0.1259071400854736,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,bestB,0.1095740739256143,par,3.0,150.3188104389519,149.69992551383814,False,False,0.0041341698934684,0.995,0.92,0.7041245359673813,334.0
K2-par-p2,2,200,14,101,bestB+pol,0.1097661459352821,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,local-vote+pol,0.063258578069508,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,ms-vote+pol,0.1180426310747861,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,HA10,0.0025939939077943,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,HA10-part,0.0013095578178763,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,HA-tm,0.1274107401259243,par,3.0,149.69992551383814,149.69992551383814,False,True,0.0,1.0,0.925,0.7211083277525538,334.0
K2-par-p2,2,200,14,101,emEM10,0.0105086681433022,par,3.0,154.6997180202016,149.69992551383814,False,False,0.033398764155706,0.96,0.915,0.6873348706367591,334.0
K2-par-p2,2,200,14,28,vote,0.2341031620744615,par,3.0,135.71736908394902,132.36458517460505,False,False,0.0253299166459157,0.97,0.905,0.654371810421003,744.0
K2-par-p2,2,200,14,28,vote+pol,0.2343463951256126,par,3.0,132.36458517460505,132.36458517460505,False,True,0.0,1.0,0.905,0.6543753294201919,744.0
K2-par-p2,2,200,14,28,param+pol,0.2507988950237632,par,3.0,132.50098454112356,132.36458517460505,False,False,0.0010304823328579,0.995,0.9,0.6381935129369556,744.0
K2-par-p2,2,200,14,28,bestB,0.1066474139224737,par,3.0,132.50098454112356,132.36458517460505,False,False,0.0010304823328579,0.995,0.9,0.6381935129369556,744.0
K2-par-p2,2,200,14,28,bestB+pol,0.106820142827928,par,3.0,132.50098454112356,132.36458517460505,False,False,0.0010304823328579,0.995,0.9,0.6381935129369556,744.0
K2-par-p2,2,200,14,28,local-vote+pol,0.057008554926142,par,3.0,132.50098454112356,132.36458517460505,False,False,0.0010304823328579,0.995,0.9,0.6381935129369556,744.0
K2-par-p2,2,200,14,28,ms-vote+pol,0.1000058590434491,par,3.0,132.64220109000067,132.36458517460505,False,False,0.00209735795288,0.99,0.895,0.6222148482961621,744.0
K2-par-p2,2,200,14,28,HA10,0.0020418839994817,par,3.0,132.4992428837748,132.36458517460505,False,False,0.0010173243016031,0.99,0.905,0.6543776753798421,744.0
K2-par-p2,2,200,14,28,HA10-part,0.0010728270281106,par,3.0,132.50098454112356,132.36458517460505,False,False,0.0010304823328579,0.995,0.9,0.6381935129369556,744.0
K2-par-p2,2,200,14,28,HA-tm,0.234601313015446,par,3.0,132.36458517460505,132.36458517460505,False,True,0.0,1.0,0.905,0.6543753294201919,744.0
K2-par-p2,2,200,14,28,emEM10,0.0069604420568794,par,3.0,135.1255056774192,132.36458517460505,False,False,0.0208584531819606,0.96,0.905,0.6543870588999828,744.0
K3-par,3,300,12,100,vote,0.1781546189449727,par,3.0,240.56583591265064,217.36645220445487,False,False,0.1067293663438662,0.9366666666666666,0.88,0.7022127229566856,353.0
K3-par,3,300,12,100,vote+pol,0.1784644778817892,par,3.0,217.36645220445487,217.36645220445487,False,True,0.0,1.0,0.93,0.8084154857491074,353.0
K3-par,3,300,12,100,param+pol,0.1771424280013889,par,3.0,219.24131724952304,217.36645220445487,False,False,0.008625365257858,0.9766666666666668,0.92,0.7814060675346113,353.0
K3-par,3,300,12,100,bestB,0.1663251591380685,par,3.0,235.43225347341863,217.36645220445487,False,False,0.0831121872107987,0.9366666666666666,0.9,0.7275918865150965,353.0
K3-par,3,300,12,100,bestB+pol,0.1665771780535578,par,3.0,217.36645220445487,217.36645220445487,False,True,0.0,1.0,0.93,0.8084154857491074,353.0
K3-par,3,300,12,100,local-vote+pol,0.1133909891359508,par,3.0,217.43702729837423,217.36645220445487,False,False,0.0003246825496925,0.9933333333333332,0.9233333333333332,0.7917446375538075,353.0
K3-par,3,300,12,100,ms-vote+pol,0.1798942179884761,par,3.0,219.69987978867988,217.36645220445487,False,False,0.0107349941104535,0.9733333333333334,0.9166666666666666,0.7735325888490043,353.0
K3-par,3,300,12,100,HA10,0.0031956189777702,par,3.0,294.47091018448174,217.36645220445487,False,False,0.3547210583696807,0.7733333333333333,0.7533333333333333,0.4965950227888767,353.0
K3-par,3,300,12,100,HA10-part,0.0019569629803299,par,3.0,217.36645220445487,217.36645220445487,False,True,0.0,1.0,0.93,0.8084154857491074,353.0
K3-par,3,300,12,100,HA-tm,0.1785378530621528,par,3.0,217.36645220445487,217.36645220445487,False,True,0.0,1.0,0.93,0.8084154857491074,353.0
K3-par,3,300,12,100,emEM10,0.0253764379303902,par,3.0,230.2601061462751,217.36645220445487,False,False,0.0593175893108492,0.9533333333333334,0.9033333333333332,0.7461721946466278,353.0
K3-cross,3,300,12,82,vote,0.2188338960986584,cross,9.0,266.99030759359715,258.0418208733518,False,False,0.0346784358053235,0.9333333333333332,0.8533333333333334,0.6119167308248303,500.0
K3-cross,3,300,12,82,vote+pol,0.2191485711373388,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,param+pol,0.2261931370012462,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
K3-cross,3,300,12,82,bestB,0.2140157241374254,cross,9.0,260.8568280666402,258.0418208733518,False,False,0.0109091122662245,0.96,0.86,0.6356104858898267,500.0
K3-cross,3,300,12,82,bestB+pol,0.2142616061028093,cross,9.0,258.0418208733518,258.0418208733518,False,True,0.0,1.0,0.8566666666666667,0.6305955882754393,500.0
