part,cell,K,n,eps,m,rep,method,n_out,acc_clean,ari_clean,perr,alpha_hat,time,p_clean_sub
b,K2-cross,2,300,0.1,6,46,vote,34,0.9172932330827068,0.6953251308637806,1.170526305835015,,0.0517401958350092,0.531441
b,K2-cross,2,300,0.1,6,46,median,34,0.6654135338345865,0.1060645137793653,3.0657761589323886,,,0.531441
b,K2-cross,2,300,0.1,10,21,vote,34,0.8308270676691729,0.4357398666015387,2.183402057980141,,0.0569485530722886,0.3486784401000001
b,K2-cross,2,300,0.1,10,21,median,34,0.5300751879699248,-0.0001550482889684,4.853639239298524,,,0.3486784401000001
b,K2-cross,2,300,0.2,12,12,vote,63,0.5907172995780591,0.0287999829132671,7.294222838286487,,0.0756723498925566,0.068719476736
b,K2-cross,2,300,0.2,12,12,median,63,0.5654008438818565,0.0128654648553806,8.23972705560535,,,0.068719476736
b,K2-cross,2,300,0.2,10,13,vote,61,0.7405857740585774,0.2287193835830863,7.878383754321429,,0.0565929939039051,0.1073741824
b,K2-cross,2,300,0.2,10,13,median,61,0.5271966527196653,-0.0011953186907465,7.556874901710234,,,0.1073741824
b,K2-cross,2,300,0.1,12,77,vote,39,0.8888888888888888,0.6034317899011068,1.6856903119097424,,0.072736688889563,0.2824295364810001
b,K2-cross,2,300,0.1,12,77,median,39,0.5172413793103449,-0.002667238809341,4.754562612160194,,,0.2824295364810001
a,K2-cross,2,300,0.0,8,18,HA50,0,0.8733333333333333,0.5560273085105241,0.2110498616780376,,0.0087929770816117,1.0
a,K2-cross,2,300,0.0,8,18,emEM10,0,0.8766666666666667,0.5660629773175408,0.2098097882039434,,0.00641242810525,1.0
a,K2-cross,2,300,0.0,8,18,vote,0,0.8733333333333333,0.5560304868081797,0.2052295879391859,,0.0341273420490324,1.0
a,K2-cross,2,300,0.0,8,18,median,0,0.8866666666666667,0.5966965626927662,0.2443445081495396,,0.0353074881713837,1.0
a,K2-cross,2,300,0.0,8,18,adapt,0,0.8733333333333333,0.5560273085105241,0.2499859950014041,0.01,0.044292421080172,1.0
a,K2-cross,2,300,0.0,8,18,adapt-sel,0,0.8733333333333333,0.5560273085105241,0.2499859950014041,0.01,0.0423270240426063,1.0
a,K2-cross,2,300,0.0,8,18,adapt-lam0,0,0.8733333333333333,0.5560273085105241,0.2499859950014041,0.01,0.0419017060194164,1.0
a,K2-cross,2,300,0.0,8,18,adapt-1st,0,0.8733333333333333,0.5560273085105241,0.2499859950014041,0.01,0.0321299349889159,1.0
a,K2-cross,2,300,0.0,8,18,TA-rw(oracle),0,0.8733333333333333,0.5560273085105241,0.2499859950014041,0.01,0.0457604508846998,1.0
a,K2-cross,2,300,0.0,8,18,TA-rw(0.25),0,0.8733333333333333,0.5560273085105241,0.2527854568357477,0.01,0.0460615251213312,1.0
a,K2-cross,2,300,0.0,8,18,TA-rw(0.40),0,0.8733333333333333,0.5560273085105241,0.2358275351469317,0.01,0.0449825848918408,1.0
a,K2-cross,2,300,0.0,8,18,bestB-trim(0.25),0,0.8833333333333333,0.5863950369044993,0.4128199793209158,,0.0219202239532023,1.0
a,K2-cross,2,300,0.0,8,63,HA50,0,0.9,0.638797261546636,0.1134328021136648,,0.0104333159979432,1.0
a,K2-cross,2,300,0.0,8,63,emEM10,0,0.8933333333333333,0.6175690827648284,0.1134285445000953,,0.0072567099705338,1.0
a,K2-cross,2,300,0.0,8,63,vote,0,0.89,0.6070861959155284,0.1157176003734539,,0.0377723930869251,1.0
a,K2-cross,2,300,0.0,8,63,median,0,0.8933333333333333,0.6175675709212378,0.1127948844647308,,0.0372075920458883,1.0
a,K2-cross,2,300,0.0,8,63,adapt,0,0.9,0.6387954256524149,0.1134291882050442,0.01,0.0457438810262829,1.0
a,K2-cross,2,300,0.0,8,63,adapt-sel,0,0.9,0.6387954256524149,0.1134291882050442,0.01,0.0449912848416715,1.0
a,K2-cross,2,300,0.0,8,63,adapt-lam0,0,0.8966666666666666,0.6281385535841159,0.1134328021136648,0.01,0.0454149658326059,1.0
a,K2-cross,2,300,0.0,8,63,adapt-1st,0,0.9,0.6387954256524149,0.1134291882050442,0.01,0.0345588179770857,1.0
a,K2-cross,2,300,0.0,8,63,TA-rw(oracle),0,0.9,0.6387954256524149,0.1134291882050442,0.01,0.0478549480903893,1.0
a,K2-cross,2,300,0.0,8,63,TA-rw(0.25),0,0.9,0.6387954256524149,0.1140930952469685,0.01,0.0474762911908328,1.0
