seed,alpha_hat,recall
-1,0.18666666666666668,
0,0.26,1.0
1,0.26,1.0
2,0.25333333333333335,1.0
3,0.2733333333333333,1.0
4,0.26666666666666666,1.0
5,0.26,1.0
6,0.26,1.0
7,0.26666666666666666,1.0
8,0.26666666666666666,1.0
9,0.2733333333333333,1.0
10,0.26,1.0
11,0.26,1.0
12,0.26666666666666666,1.0
13,0.25333333333333335,1.0
14,0.26,1.0
15,0.26666666666666666,1.0
16,0.26666666666666666,1.0
17,0.26666666666666666,1.0
18,0.26666666666666666,1.0
19,0.2733333333333333,1.0
20,0.2733333333333333,1.0
21,0.26,1.0
22,0.26666666666666666,1.0
23,0.26666666666666666,1.0
24,0.2733333333333333,1.0
25,0.26,1.0
26,0.28,1.0
27,0.25333333333333335,1.0
28,0.25333333333333335,1.0
29,0.24666666666666667,1.0
30,0.2733333333333333,1.0
31,0.26666666666666666,1.0
32,0.25333333333333335,1.0
33,0.26,1.0
34,0.28,1.0
35,0.28,1.0
36,0.2733333333333333,1.0
37,0.26666666666666666,1.0
38,0.26,1.0
39,0.26666666666666666,1.0
40,0.26,1.0
41,0.28,1.0
42,0.26666666666666666,1.0
43,0.26,1.0
44,0.26666666666666666,1.0
45,0.28,1.0
46,0.26,1.0
47,0.24666666666666667,1.0
48,0.2733333333333333,1.0
49,0.26,0.9333333333333333
