data,m,seed,frac_Q_below_half,n_Q_below_half,min_Q
tone,12,0,0.03333333333333333,5,0.37
tone,12,1,0.1,15,0.415
tone,12,2,0.06,9,0.375
tone,12,3,0.02666666666666667,4,0.435
tone,12,4,0.09333333333333334,14,0.295
tone,20,0,0.013333333333333334,2,0.395
tone,20,1,0.02,3,0.355
tone,20,2,0.03333333333333333,5,0.36
tone,20,3,0.02,3,0.385
tone,20,4,0.03333333333333333,5,0.39
ethanol,12,0,0.06818181818181818,6,0.345
ethanol,12,1,0.045454545454545456,4,0.37
ethanol,12,2,0.022727272727272728,2,0.435
ethanol,12,3,0.03409090909090909,3,0.37
ethanol,12,4,0.022727272727272728,2,0.425
ethanol,20,0,0.022727272727272728,2,0.415
ethanol,20,1,0.03409090909090909,3,0.45
ethanol,20,2,0.045454545454545456,4,0.375
ethanol,20,3,0.03409090909090909,3,0.4
ethanol,20,4,0.03409090909090909,3,0.455
co2,10,0,0.03571428571428571,1,0.45
co2,10,1,0.03571428571428571,1,0.43
co2,10,2,0.03571428571428571,1,0.465
co2,10,3,0.17857142857142858,5,0.36
co2,10,4,0.03571428571428571,1,0.495
co2,20,0,0.0,0,0.69
co2,20,1,0.0,0,0.655
co2,20,2,0.0,0,0.64
co2,20,3,0.0,0,0.6
co2,20,4,0.0,0,0.68
gnp-ar1,16,0,0.3639240506329114,115,0.225
gnp-ar1,16,1,0.34810126582278483,110,0.225
gnp-ar1,16,2,0.310126582278481,98,0.265
gnp-ar1,16,3,0.36075949367088606,114,0.245
gnp-ar1,16,4,0.27531645569620256,87,0.3
gnp-ar1,20,0,0.33860759493670883,107,0.23
gnp-ar1,20,1,0.37341772151898733,118,0.2
gnp-ar1,20,2,0.3670886075949367,116,0.275
gnp-ar1,20,3,0.31962025316455694,101,0.26
gnp-ar1,20,4,0.35443037974683544,112,0.245
